id,sub_dist,Village,longitude,Latitude,B,POINT_X,POINT_Y,DEM,slope_pc,DEM_accu,DEM_flength,DEM_curv,DEM_Plan_Curv,DEM_Prf_Curv,landuse,LST.jan1,LST.apr7,LST.jun26,LST.sep30,NDVI_JAN4,NDVI_Apr4,preciJan2019,preciApr2019,preciJun2019,preciSep2019
5232,Mavelikkara,Noornad,76.63176,9.23995,0.08,679256.6354,1021790.503,16,5.605363369,0,0,1.256803989,0.628401995,-0.628401995,3,30.05001259,35.6700058,24.67000771,27.52999306,0.7799353,0.560632706,0.002651908,0.141479075,0.438342303,0.482713521
5233,Mavelikkara,Noornad,76.61515,9.190487,0.08,677456.1868,1016311.565,31,1.401340842,0,0,0,0,0,15,29.92998695,34.12999725,27.35000038,28.29000282,0.435346186,0.281331241,0.002515152,0.148369715,0.485214263,0.510528028
5234,Mavelikkara,Noornad,76.63333,9.235768,0.07,679431.2693,1021328.757,17,7.14546442,13,91.36464691,-0.628401995,-0.502721608,0.125680402,8,30.30999184,35.70998383,23.45000648,27.90999794,0.485745609,0.441303313,0.002651908,0.141479075,0.438342303,0.482713521
5236,Mavelikkara,Noornad,76.61673,9.187028,0.03,677631.5494,1015929.781,32,3.133493423,0,0,0.628401995,0,-0.628401995,8,30.24999428,33.84999847,27.12999916,28.68999672,0.824660659,0.766928196,0.002515152,0.148369715,0.485214263,0.510528028
5237,Mavelikkara,Noornad,76.63431,9.236309,0.044,679538.6822,1021389.085,16,0,12,68.29935455,0,0,0,15,30.30999184,35.70998383,23.45000648,27.90999794,0.763684928,0.519856513,0.002651908,0.141479075,0.438342303,0.482713521
5238,Mavelikkara,Noornad,76.63471,9.236609,0.04,679582.484,1021422.467,17,4.204022408,0,0,1.256803989,0.471301496,-0.785502493,3,30.30999184,35.70998383,23.45000648,27.90999794,0.762028635,0.665955186,0.002651908,0.141479075,0.438342303,0.482713521
5239,Mavelikkara,Noornad,76.61772,9.187355,0.003,677740.1861,1015966.438,24,0,0,0,0,0,0,3,30.24999428,33.84999847,27.12999916,28.68999672,0.833880305,0.809444904,0.002515152,0.148369715,0.485214263,0.510528028
5240,Mavelikkara,Noornad,76.61556,9.1954,0.16,677498.7964,1016855.148,19,1.401340842,0,0,0,0,0,3,29.92998695,34.12999725,27.35000038,28.29000282,0.657301664,0.507646203,0.002515152,0.148369715,0.485214263,0.510528028
5241,Mavelikkara,Noornad,76.6268,9.213535,0.03,678724.9198,1018866.484,23,16.34230232,10,101.8151093,0,0,0,15,30.40999794,34.51000214,26.79000282,28.45000648,0.639146805,0.343685299,0.002988193,0.141276911,0.43450287,0.472926676
5243,Mavelikkara,Noornad,76.62618,9.246607,0.06,678640.1308,1022523.976,13,4.431428909,2,30.45487976,-0.628401995,0,0.628401995,8,29.95000648,35.40999603,25.33001137,28.14998817,0.727980077,0.520637214,0.002651908,0.141479075,0.438342303,0.482713521
5244,Mavelikkara,Noornad,76.63489,9.235473,0.78,679602.8387,1021296.914,19,7.927181244,2,25.22964859,0,0,0,3,30.30999184,35.70998383,23.45000648,27.90999794,0.847491622,0.738022447,0.002651908,0.141479075,0.438342303,0.482713521
5245,Mavelikkara,Noornad,76.61678,9.186862,0.077,677637.127,1015911.446,32,0,2,25.22964859,0,0,0,8,30.24999428,33.84999847,27.12999916,28.68999672,0.798129618,0.777170956,0.002515152,0.148369715,0.485214263,0.510528028
5246,Mavelikkara,Noornad,76.64578,9.23993,0.07,680797.2125,1021795.368,15,3.963590622,139,260.5825806,-0.628401995,0,0.628401995,3,29.90999794,35.05001068,27.05001259,28.49001503,0.8797279,0.048513301,0.002651908,0.141479075,0.438342303,0.482713521
5247,Mavelikkara,Noornad,76.63492,9.23585,0.04,679605.9443,1021338.626,17,8.862857819,7,66.13499451,-0.628401995,-0.502721608,0.125680402,8,30.30999184,35.70998383,23.45000648,27.90999794,0.755342662,0.519705117,0.002651908,0.141479075,0.438342303,0.482713521
5248,Mavelikkara,Noornad,76.61545,9.190715,0.11,677489.0425,1016336.931,30,3.133493423,0,0,-0.628401995,0,0.628401995,15,29.92998695,34.12999725,27.35000038,28.29000282,0.318153054,0.246956527,0.002515152,0.148369715,0.485214263,0.510528028
5249,Mavelikkara,Noornad,76.6348,9.236464,0.13,679592.447,1021406.475,16,4.204022408,1,12.6148243,-1.256803989,-0.471301496,0.785502493,3,30.30999184,35.70998383,23.45000648,27.90999794,0.757505774,0.412574589,0.002651908,0.141479075,0.438342303,0.482713521
5250,Mavelikkara,Noornad,76.62362,9.192399,0.028,678386.0639,1016527.237,21,7.927181244,6,68.29934692,0,0,0,8,29.89000893,34.18999481,27.45000648,28.24999428,0.813512683,0.570482492,0.002988193,0.141276911,0.43450287,0.472926676
5251,Mavelikkara,Noornad,76.6319,9.193376,0.042,679295.5247,1016639.425,24,8.862857819,0,0,0.628401995,0.502721608,-0.125680402,8,29.90999794,33.96999359,27.39000893,28.42998695,0.855351985,0.660044134,0.002988193,0.141276911,0.43450287,0.472926676
5252,Mavelikkara,Noornad,76.62215,9.196017,0.0291,678222.704,1016926.659,18,7.927181244,6,55.68452454,0,0,0,2,29.89000893,34.18999481,27.45000648,28.24999428,0.645632386,0.31637764,0.002515152,0.148369715,0.485214263,0.510528028
5253,Mavelikkara,Noornad,76.63243,9.192055,0.0309,679354.4356,1016493.586,19,0,635,823.5492554,0,0,0,8,29.90999794,33.96999359,27.39000893,28.42998695,0.533033967,0.35862419,0.002988193,0.141276911,0.43450287,0.472926676
5254,Mavelikkara,Noornad,76.63409,9.195555,0.053,679535.1019,1016881.522,31,11.21072674,1,17.84005547,0,0,0,3,29.90999794,33.96999359,27.39000893,28.42998695,0.871104062,0.789215684,0.002988193,0.141276911,0.43450287,0.472926676
5255,Mavelikkara,Noornad,76.63501,9.19354,0.029,679637.2237,1016659.121,29,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,8,29.90999794,33.96999359,27.39000893,28.42998695,0.844484627,0.726352334,0.002988193,0.141276911,0.43450287,0.472926676
5256,Mavelikkara,Noornad,76.62602,9.201,0.0118,678645.502,1017479.711,28,0,5,50.45929718,0,0,0,3,29.85000038,34.33000946,27.02999306,28.35000038,0.83659935,0.803753376,0.002988193,0.141276911,0.43450287,0.472926676
